lat,lon,use_type,use_code,year_built,gross_area,story_height,number_of_stories,address,Address,Type,fire_late,fire_early,Fire_final
38.02800310000001,-78.51135190000002,R,Medical Office,1956.0,1975.0,12.0,1.0,"1821 JEFFERSON PARK AVE Charlottesville, VA",1821 JEFFERSON PARK AVE,Commercial,0,0.0,0.0
38.0423139,-78.4617181,R,Office Building,1923.0,305.0,10.0,1.0,"1033 LOCUST AVE Charlottesville, VA",1033 LOCUST AVE,Commercial,0,0.0,0.0
38.033823100000006,-78.47939020000003,R,Medical Office,1998.0,2978.0,10.0,2.0,"415 2ND ST Charlottesville, VA",415 2ND ST,Commercial,0,0.0,0.0
38.04743765,-78.487678841603,R,Medical Office,1989.0,1126.0,10.0,1.0,"1608 OXFORD RD Charlottesville, VA",1608 OXFORD RD,Commercial,0,0.0,0.0
38.026771979288995,-78.4620708561356,R,Office,1989.0,1274.0,10.0,1.0,"1413 SHORT 18TH ST Charlottesville, VA",1413 SHORT 18TH ST,Commercial,0,0.0,0.0
38.0570641,-78.501143,R,Office,1989.0,762.0,10.0,1.0,"1243 CEDARS CT Charlottesville, VA",1243 CEDARS CT,Commercial,0,0.0,0.0
39.78818,-85.612594,R,Office Building,1890.0,,,,"440 2ND ST Charlottesville, VA",440 2ND ST,Commercial,0,0.0,0.0
38.0331434,-78.4749946,R,Medical Office,1948.0,1578.0,8.0,1.5,"508 7TH ST Charlottesville, VA",508 7TH ST,Commercial,0,0.0,0.0
38.0241316,-78.462823,R,Medical Office,1948.0,65.0,8.0,1.0,"1518 MARKET ST Charlottesville, VA",1518 MARKET ST,Commercial,0,0.0,0.0
38.041750819652904,-78.49346935485741,R,Office Building,1939.0,1588.0,10.0,1.9,"762 MADISON AVE Charlottesville, VA",762 MADISON AVE,Commercial,0,0.0,0.0
38.0635625,-78.49301949999997,R,Office Building,1921.0,847.0,8.0,1.0,"1924 SWANSON DR Charlottesville, VA",1924 SWANSON DR,Commercial,0,0.0,0.0
38.039998,-78.487985,R,Office Building,1927.0,362.0,8.0,1.0,"921 HENRY AVE Charlottesville, VA",921 HENRY AVE,Commercial,0,0.0,0.0
38.036072600000004,-78.49973472559671,R,Office Building,1900.0,2758.0,10.0,2.0,"604 15TH ST Charlottesville, VA",604 15TH ST,Commercial,0,0.0,0.0
38.0256935,-78.47418799796421,R,Office Building,1900.0,482.0,10.0,1.0,"216 DOUGLAS AVE Charlottesville, VA",216 DOUGLAS AVE,Commercial,0,0.0,0.0
38.02612915,-78.5101460428512,R,Office Building,1947.0,868.0,12.0,1.0,"205 SHAMROCK RD Charlottesville, VA",205 SHAMROCK RD,Commercial,0,0.0,0.0
38.01648145,-78.5178813572853,R,Retail Store,1920.0,3138.0,10.0,1.0,"2709 ETON RD Charlottesville, VA",2709 ETON RD,Commercial,0,0.0,0.0
